pph age;pph altitude;ac altitude;different relief ac pph;pph distance;PPH SEXE;PPH NB HEURES PRATIQUE;AC EXPERIENCEmoins d'un an 1 : 1/2 : 1 Ã  2 ans2/4 : 2 Ã  4 ans4 : plus de 4 anscase grisÃ©e : sans objet;AC FREQUEE;AC BREVET VOL VOL LIBRE;AC NIVEAU PROGRESSION VOL LIBRE;AC ECOLE VOL LIBRE;AC 0 BI VOL LIBRE;AC TYPE VOL VOL LIBRE;AC SITE CONNAISSAE VOL LIBRE;AC TYPE AILE VOL LIBRE;AC SURFACE AILE;AC AILE HOMOLOGATION PARAPENTE;AC SELLETTE PROTECTION PARAPENTE;AC NOMBRE DE JOUR DEPUIS LE D2BUT DE l'ANNEE;AC HEURE;Saison;AC ETAT ASSURE
26;31;165;0;894;0;50;1;3;1;2;1;0;4;4;1;25;3;3;17;13;0;2
48;767;1581;1;17;0;92;4;4;2;3;1;0;4;0;1;25;0;2;53;15;0;2
63;1616;1616;0;0;0;20;4;2;0;1;1;0;5;3;1;25;2;2;54;12;0;2
44;116;56;0;90;0;42;1;2;1;1;1;0;4;3;1;28;2;3;57;16;0;2
47;1373;1710;0;16;0;300;4;3;3;3;1;1;4;4;2;42;1;3;63;13;1;2
44;234;316;0;8;0;200;4;3;3;3;1;0;4;3;1;21;-1;3;68;0;1;1
37;38;204;0;27;1;20;3;2;1;2;1;0;4;4;1;25;3;3;64;16;1;0
32;471;432;0;18;0;105;4;2;3;3;1;0;5;3;1;30;0;3;82;13;1;1
35;133;153;0;9;0;110;4;3;3;3;1;0;4;3;1;20;0;3;82;17;1;1
53;177;77;0;18;0;80;4;2;3;2;1;0;6;3;1;25;-1;2;91;13;1;2
58;665;295;0;19;0;30;3;2;0;2;1;0;5;4;1;25;3;4;107;11;1;2
51;1148;1143;0;7;0;250;4;3;3;3;1;0;2;3;1;0;-1;2;112;15;1;2
70;318;432;0;39;0;90;3;3;2;3;1;0;4;3;1;26;3;2;123;13;1;2
48;176;388;0;32;0;30;2;3;2;2;1;0;1;4;1;26;2;2;128;11;1;0
